instance,use_ac3,use_ac3_meanwhile,fc,var_heuristic,val_heuristic,execution_time
4,False,False,False,degree,LCV,0.000971
5,False,False,False,degree,LCV,0.002594
6,False,False,False,degree,LCV,0.036146
7,False,False,False,degree,LCV,0.057313
8,False,False,False,degree,LCV,0.472348
9,False,False,False,degree,LCV,0.886638
10,False,False,False,degree,LCV,1.704232
11,False,False,False,degree,LCV,3.820258
12,False,False,False,degree,LCV,3.645976
13,False,False,False,degree,LCV,20.019251
